,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
770,5.260177396699718e+18,150.1260368224896,-54.79473779932025,13.748744
965,5.260177431059464e+18,150.1969963611776,-54.816976231430715,14.733438
808,5.26017704878008e+18,150.1761548152279,-54.81603229733068,16.959082
937,5.260177087462068e+18,150.14423642632755,-54.816220250355556,17.09267
1011,5.260177774656859e+18,150.13243308531523,-54.76455675701374,17.19854
849,5.26017708746512e+18,150.15886799368414,-54.81644448665225,17.755407
844,5.260177396699723e+18,150.1246206408127,-54.782791020840584,17.853361
858,5.260177087452715e+18,150.15856555671328,-54.8165710810326,17.878073
776,5.260177121821811e+18,150.16215015121955,-54.815466428008854,17.884024
913,5.260176705183229e+18,150.2155441754479,-54.80277343793537,18.356485
1015,5.26017728929878e+18,150.13113028032197,-54.81525607550274,19.294708
912,5.260177293611126e+18,150.14117173536553,-54.8138788171907,19.471819
907,5.260177431050206e+18,150.2070345742321,-54.80937518412179,19.516941
929,5.260176709495719e+18,150.21226049801547,-54.807180557750655,19.591536
1023,5.260177774656855e+18,150.12720577166684,-54.76626928890769,19.972723
984,5.260176675138527e+18,150.211388555306,-54.811076987511036,20.469822
889,5.260176709498306e+18,150.21621840696872,-54.79945267464377,20.480923
934,5.260177774648225e+18,150.13070590587026,-54.77035283254736,20.537048
903,5.260177293614503e+18,150.14058273537876,-54.81317965825973,20.725029
