,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
201,5.260177705937371e+18,150.15472878681823,-54.794339744973186,10.892049
646,5.260177568498441e+18,150.20890636443002,-54.78544553543223,11.662475
388,5.26017774029713e+18,150.17502775627378,-54.77461298866705,11.848602
282,5.260177534138699e+18,150.188298117788,-54.783616868865934,11.948454
33,5.260177495456252e+18,150.1717561695895,-54.793485718537035,11.957215
34,5.26017753413869e+18,150.17627914823854,-54.7895239080798,12.763337
588,5.260177327980242e+18,150.13665025008024,-54.79888243352989,13.32813
138,5.260177499778944e+18,150.17163173062707,-54.79810483036394,13.409075
24,5.260177499778947e+18,150.16627119037742,-54.78778007389387,13.487999
801,5.260177809016599e+18,150.14271278543757,-54.76907875921634,13.495198
176,5.26017752981599e+18,150.18515536182417,-54.78757295296267,13.77392
784,5.26017739670277e+18,150.12673896174726,-54.78288223264226,14.008988
406,5.260177637217917e+18,150.18679529638814,-54.777012441223405,14.373962
632,5.260177637217921e+18,150.19326878812473,-54.77195580550716,14.529912
846,5.260177637217924e+18,150.189496968694,-54.7652640106952,14.541398
297,5.260177740297125e+18,150.16745093168228,-54.777166740413925,14.555047
639,5.260177774647568e+18,150.13661613789643,-54.77800172037262,14.750158
56,5.260177705937375e+18,150.16198015820373,-54.79041556933004,14.771743
587,5.260177327970905e+18,150.1339134670329,-54.79341569765986,14.84151
16,5.260177499778949e+18,150.16979451516445,-54.787409188665336,14.859468
387,5.260177705937382e+18,150.15507941693855,-54.776945241886935,14.883485
433,5.260177637217917e+18,150.18369213575917,-54.77524473389252,14.925524
188,5.260177705937376e+18,150.15597661165316,-54.784917213798664,14.988712
125,5.260177499778942e+18,150.16064249119677,-54.79510923612918,15.023668
129,5.260177534138692e+18,150.1831582294099,-54.79021802080975,15.038669
475,5.260177327980244e+18,150.14083603334322,-54.796620594832945,15.107738
467,5.260177637217918e+18,150.1912608306762,-54.77717148487861,15.142074
528,5.260177637217918e+18,150.18012906079355,-54.77133393723873,15.156976
713,5.260177637217923e+18,150.1979863593197,-54.771692166011405,15.4198
187,5.260177705937372e+18,150.15361701899099,-54.79116329332431,15.437653
756,5.260177770334706e+18,150.13286311280262,-54.77620321466774,15.474203
