,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,Unnamed: 36,Unnamed: 37,Unnamed: 38,mask
276,52,150.1718025,0.1488,-54.81389782,0.1329,5.26018e+18,0.2475,0.1684,-4.067,0.29,2.702,0.243,0,777.41,1.2704,18.4617,0.0018,358.88,10.474,18.964,0.0317,790.51,13.331,17.5171,0.0183,1.4469,,,,,,,,IN,4,,,,3
207,22,150.1797349,0.0873,-54.81256244,0.0781,5.26018e+18,0.6111,0.1043,-9.287,0.169,11.82,0.144,0,1836.6,1.9815,17.5283,0.0012,821.4,12.738,18.065,0.0168,1571.2,11.273,16.7714,0.0078,1.2937,,,,,,,,IN,3,,,,3
201,81,150.1379371,0.5303,-54.80803778,0.5178,5.26018e+18,-0.4941,0.6244,-5.901,1.133,1.156,1.015,0,1101.8,3.7379,18.0831,0.0037,486.06,9.8095,18.6347,0.0219,1095.7,11.122,17.1627,0.011,1.472,,,,,,,,IN,3,,,,3
271,141,150.1907354,0.1683,-54.80628754,0.134,5.26018e+18,0.2367,0.1865,-4.1,0.305,2.509,0.258,0,797.4,1.4216,18.4342,0.0019,327.53,9.321,19.0633,0.0309,718.25,7.9327,17.6212,0.012,1.442,,,,,,,,IN,4,,,,3
341,64,150.1631941,0.1748,-54.80500973,0.1604,5.26018e+18,0.168,0.2039,-3.884,0.347,2.811,0.299,0,653.64,1.3193,18.65,0.0022,305.14,11.197,19.1401,0.0398,648.16,8.834,17.7327,0.0148,1.4074,,,,,,,,IN,5,,,,3
265,169,150.1746019,0.2044,-54.80447558,0.197,5.26018e+18,-0.178,0.2531,-3.504,0.406,4.277,0.348,0,825.42,1.6351,18.3967,0.0022,350.39,7.8177,18.99,0.0242,824.98,8.1043,17.4708,0.0107,1.5192,,,,,,,,IN,4,,,,3
339,269,150.1841374,0.2038,-54.80208214,0.1757,5.26018e+18,-0.0338,0.2271,-4.745,0.403,2.572,0.357,0,593.77,1.1535,18.7543,0.0021,269.49,8.5902,19.275,0.0346,631.98,8.3883,17.7602,0.0144,1.5149,,,,,,,,IN,5,,,,3
263,143,150.1909309,0.1319,-54.80116172,0.1209,5.26018e+18,0.2166,0.1559,-2.778,0.262,1.205,0.215,0,995.43,1.3384,18.1933,0.0015,398.68,7.094,18.8498,0.0193,900.74,6.6377,17.3754,0.008,1.4744,,,,,,,,IN,4,,,,3
122,218,150.1713705,0.0631,-54.79895444,0.0611,5.26018e+18,0.0026,0.0789,-4.479,0.132,2.57,0.108,0,3015.8,2.9841,16.9899,0.0011,2031.3,74.108,17.082,0.0396,3050.7,52.634,16.0509,0.0187,1.031,,,5143.45,,,,,IN,2,,,,3
334,130,150.1424819,0.2163,-54.7980326,0.2008,5.26018e+18,0.1724,0.2601,-6.029,0.44,4.129,0.41,0,651.08,1.3598,18.6543,0.0023,282.65,6.5803,19.2233,0.0253,704.8,10.583,17.6417,0.0163,1.5815,,,,,,,,IN,5,,,,3
118,204,150.1791607,0.0735,-54.79708766,0.0688,5.26018e+18,0.2443,0.0869,-3.907,0.147,3.849,0.132,0,2186.5,1.8913,17.339,0.0009,674.8,7.9299,18.2784,0.0128,2407.7,11.737,16.3079,0.0053,1.9705,,,,,,,,IN,2,,,,3
187,144,150.1746387,0.1106,-54.79657013,0.1054,5.26018e+18,0.1628,0.1313,-4.014,0.225,2.622,0.203,0,1496.4,1.8008,17.7507,0.0013,700.11,10.284,18.2385,0.0159,1383.7,9.2188,16.9093,0.0072,1.3291,,,,,,,,IN,3,,,,3
185,161,150.1902,0.1065,-54.79451397,0.1,5.26018e+18,0.1299,0.1227,-4.51,0.217,2.6,0.189,0,1135.5,1.4726,18.0504,0.0014,479.9,7.4295,18.6485,0.0168,1002.4,8.6378,17.2593,0.0094,1.3892,,,,,,,,IN,3,,,,3
183,270,150.181089,0.0843,-54.79359918,0.0868,5.26018e+18,0.2287,0.1044,-4.101,0.175,2.615,0.161,0,1604.5,1.8877,17.675,0.0013,740.06,6.7819,18.1782,0.0099,1361.2,8.6464,16.9271,0.0069,1.2511,,,,,,,,IN,3,,,,3
257,184,150.1717986,0.9159,-54.79244962,0.8661,5.26018e+18,,,,,,,0,970.72,2.4605,18.2206,0.0028,647.76,28.827,18.3229,0.0483,2126.1,86.082,16.443,0.044,1.8799,,,,,,,,IN,4,,,,3
180,242,150.1847983,0.0978,-54.79142928,0.0877,5.26018e+18,0.0335,0.108,-6.921,0.204,3.536,0.17,0,1875.8,2.0737,17.5054,0.0012,830.32,8.4004,18.0533,0.011,1807.2,11.395,16.6194,0.0068,1.4339,,,,,,,,IN,3,,,,3
