,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight
0,112,150.13698920329,0.0732,-54.81474373888,0.0567,5260177293620497280,0.115,0.0733,-6.209,0.139,2.004,0.103,0,3335.2,3.3774,16.8806,0.0011,1520.4,7.1392,17.3965,0.0051,2856.7,7.8037,16.1223,0.003,1.2742,,,4892.67,,,,,IN,0
1,29,150.16829853374,0.135,-54.81470090668,0.1229,5260177117499592576,0.4721,0.1541,-7.078,0.264,6.483,0.226,0,865.28,1.2198,18.3455,0.0015,324.75,6.7338,19.0725,0.0225,849.83,9.595,17.4386,0.0123,1.6339,,,,,,,,IN,0
2,20,150.14540219793,0.0753,-54.81433870584,0.0717,5260177083139830144,0.2623,0.0885,-5.245,0.154,3.59,0.138,1,2984.5,2.643,17.0012,0.001,1305.2,12.162,17.5622,0.0101,2612.1,10.547,16.2195,0.0044,1.3428,,,4707.0,,,,,IN,0
3,128,150.14031394597,0.0323,-54.81411964698,0.0289,5260177293620498304,0.4682,0.037,-6.8,0.063,3.379,0.053,0,11389.0,5.3374,15.5471,0.0005,5688.5,13.509,15.9639,0.0026,8559.7,17.529,14.9308,0.0022,1.0331,,,5195.03,,,1.82,2.184,IN,0
4,84,150.13896988187,0.1631,-54.81400173758,0.1534,5260177293612371328,0.3971,0.1925,-5.464,0.328,2.668,0.289,0,741.51,1.2546,18.5131,0.0018,377.71,16.101,18.9085,0.0463,810.41,11.791,17.4902,0.0158,1.4183,,,,,,,,IN,0
5,55,150.18504422584,0.0537,-54.81392054,0.0537,5260177053102339456,0.5711,0.0681,-6.103,0.11,4.078,0.092,0,3986.7,2.6715,16.6868,0.0007,1794.1,12.24,17.2168,0.0074,3234.4,13.791,15.9874,0.0046,1.2293,,,4867.61,,,1.04,0.55,IN,0
6,52,150.1718024654,0.1488,-54.81389781637,0.1329,5260177117504051712,0.2475,0.1684,-4.067,0.29,2.702,0.243,0,777.41,1.2704,18.4617,0.0018,358.88,10.474,18.964,0.0317,790.51,13.331,17.5171,0.0183,1.4469,,,,,,,,IN,0
7,45,150.1706787177,0.18,-54.81374941831,0.162,5260177121821812864,0.3411,0.2061,-9.12,0.35,-0.407,0.297,0,602.79,1.1067,18.7379,0.002,231.98,29.287,19.4378,0.1371,573.33,7.4742,17.8659,0.0142,1.5719,,,,,,,,IN,0
8,48,150.16157433858,0.0324,-54.81359235686,0.0296,5260177121821811200,0.2873,0.0381,-7.221,0.066,2.466,0.057,0,9146.9,4.7965,15.7852,0.0006,2793.4,15.689,16.7361,0.0061,9798.6,20.326,14.784,0.0023,1.9521,,,3857.83,1.845,0.8825,,,IN,0
9,30,150.16560452917,0.1349,-54.81327115997,0.1242,5260177117499592448,-0.0429,0.158,-5.423,0.269,2.885,0.23,0,958.68,1.3955,18.2342,0.0016,384.62,14.314,18.8888,0.0404,1148.8,15.536,17.1114,0.0147,1.7775,,,,,,,,IN,0
10,136,150.13922329052,0.1443,-54.8130319219,0.133,5260177293611127552,0.1586,0.1699,-3.95,0.288,2.315,0.249,0,776.8,1.4365,18.4626,0.002,410.28,9.27,18.8187,0.0245,813.71,11.91,17.4858,0.0159,1.3329,,,,,,,,IN,0
11,28,150.17072770792,0.1073,-54.81289807971,0.096,5260177117499592320,0.0902,0.1202,-4.164,0.209,2.601,0.176,0,1291.2,1.5337,17.9109,0.0013,568.38,7.0606,18.4648,0.0135,1148.3,11.692,17.1118,0.0111,1.353,,,,,,,,IN,0
12,110,150.1448796255,0.0751,-54.81270683408,0.0698,5260177293620499328,0.3688,0.089,-4.667,0.153,3.886,0.131,0,2160.1,2.1408,17.3522,0.0011,1017.2,11.665,17.8328,0.0124,1867.8,21.764,16.5836,0.0127,1.2492,,,,,,,,IN,0
13,22,150.17973485033,0.0873,-54.81256244323,0.0781,5260177048780090624,0.6111,0.1043,-9.287,0.169,11.82,0.144,0,1836.6,1.9815,17.5283,0.0012,821.4,12.738,18.065,0.0168,1571.2,11.273,16.7714,0.0078,1.2937,,,,,,,,IN,0
14,253,150.19290875354,0.4023,-54.81253220744,0.5014,5260177431050170752,-0.2366,0.4734,-3.723,0.728,0.965,0.975,1,526.45,3.74,18.885,0.0077,551.82,60.159,18.4969,0.1184,913.84,9.2771,17.3597,0.011,1.1372,,,,,,,,IN,0
15,77,150.12818554014,0.0844,-54.81248101682,0.0789,5260177289298264448,0.1155,0.0972,-4.738,0.173,3.493,0.152,0,2180.2,1.8465,17.3421,0.0009,539.52,9.6389,18.5214,0.0194,2624.2,9.541,16.2144,0.0039,2.3069,,,,,,,,IN,0
16,57,150.16208886563,0.1009,-54.81242820011,0.0935,5260177117504050560,0.2303,0.12,-5.186,0.204,3.262,0.177,0,1479.4,1.5822,17.7631,0.0012,594.79,8.1796,18.4155,0.0149,1435.9,9.244,16.8691,0.007,1.5464,,,,,,,,IN,0
17,126,150.13533806397,0.1809,-54.81190681605,0.1662,5260177293611124096,0.7571,0.2105,-5.356,0.358,4.036,0.315,0,577.6,1.0882,18.7843,0.002,219.89,23.88,19.4959,0.1179,648.15,11.868,17.7327,0.0199,1.7631,,,,,,,,IN,0
18,272,150.19833158376,0.1009,-54.81144644477,0.0886,5260177426737215872,0.072,0.1133,-2.902,0.204,3.273,0.175,0,1690.2,1.8761,17.6185,0.0012,438.25,7.817,18.7471,0.0194,2024.7,8.2604,16.496,0.0044,2.2511,,,,,,,,IN,0
19,0,150.20927750333,0.0783,-54.81138383982,0.0725,5260176670827454848,0.2056,0.0927,-4.727,0.156,3.745,0.133,0,1938.7,2.0971,17.4696,0.0012,791.07,8.7131,18.1059,0.012,1980.1,11.632,16.5202,0.0064,1.5856,,,,,,,,IN,0
20,78,150.13565938235,0.0872,-54.81104186666,0.0796,5260177289298265216,0.2128,0.1006,-4.009,0.175,2.262,0.151,0,1922.3,1.9136,17.4788,0.0011,879.23,8.0622,17.9911,0.01,1597.8,8.7634,16.7531,0.006,1.238,,,,,,,,IN,0
21,34,150.17016026108,0.0338,-54.81064886732,0.0332,5260177121821970304,0.1147,0.0389,-4.07,0.07,2.62,0.064,0,10032.0,5.7958,15.6849,0.0006,4742.9,17.047,16.1613,0.0039,8036.4,14.947,14.9993,0.002,1.162,,,4883.09,,,,,IN,0
22,3,150.20923546453,0.0315,-54.81035681808,0.0284,5260176675145227136,0.5338,0.0355,-12.167,0.062,4.922,0.053,0,10229.0,5.4399,15.6638,0.0006,5164.6,10.778,16.0688,0.0023,7466.4,11.599,15.0791,0.0017,0.9896,,,5287.0,,,1.45,1.488,IN,0
23,58,150.1720404261,0.0905,-54.81027186242,0.0886,5260177117504051840,0.1935,0.1081,-4.145,0.18,2.556,0.159,0,1692.9,1.8023,17.6168,0.0012,778.15,9.7446,18.1237,0.0136,1459.8,10.326,16.8512,0.0077,1.2725,,,,,,,,IN,0
24,75,150.12929903693,0.1646,-54.80963120451,0.1632,5260177289298278400,0.317,0.1922,-4.88,0.336,3.812,0.322,0,775.22,1.2853,18.4648,0.0018,317.5,8.2159,19.097,0.0281,772.0,10.331,17.5429,0.0145,1.5542,,,,,,,,IN,0
25,212,150.19491733616,0.0625,-54.80918328351,0.0524,5260177431059467264,0.4463,0.0681,-6.413,0.119,3.465,0.1,0,3338.6,2.1766,16.8795,0.0007,1552.1,11.614,17.3741,0.0081,2609.8,11.944,16.2204,0.005,1.1537,,,4940.0,0.704,0.352,,,IN,0
26,202,150.20107672446,0.1193,-54.80903911334,0.11,5260177431059468544,0.1664,0.1442,-4.213,0.242,2.957,0.209,0,1153.5,1.7332,18.0334,0.0016,519.85,10.22,18.5617,0.0213,1371.5,16.788,16.919,0.0133,1.6427,,,,,,,,IN,0
27,51,150.17202331662,0.0414,-54.80843535857,0.0394,5260177121821815552,0.143,0.0504,-4.209,0.083,2.781,0.071,0,6339.6,3.7286,16.1832,0.0006,2906.0,9.2778,16.6932,0.0035,5249.7,10.509,15.4616,0.0022,1.2316,,,4896.33,,,,,IN,0
