,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
770,5.260177396699718e+18,150.12603683333316,-54.794737804889415,13.748744
965,5.260177431059464e+18,150.19699636638262,-54.816976234573346,14.733438
808,5.26017704878008e+18,150.1761548219757,-54.81603230060523,16.959082
937,5.260177087462068e+18,150.14423643657057,-54.81622025397434,17.09267
1011,5.260177774656859e+18,150.1324330962044,-54.76455676310934,17.19854
849,5.26017708746512e+18,150.15886800646163,-54.81644449178013,17.755407
844,5.260177396699723e+18,150.1246206517879,-54.78279102297065,17.853361
858,5.260177087452715e+18,150.15856556655274,-54.816571084055084,17.878073
776,5.260177121821811e+18,150.1621501572538,-54.81546643024964,17.884024
913,5.260176705183229e+18,150.2155441507291,-54.802773433313696,18.356485
1015,5.26017728929878e+18,150.13113028689727,-54.815256075483084,19.294708
912,5.260177293611126e+18,150.14117174256467,-54.8138788206322,19.471819
907,5.260177431050206e+18,150.20703458011116,-54.8093751863385,19.516941
929,5.260176709495719e+18,150.21226050662128,-54.8071805610495,19.591536
1023,5.260177774656855e+18,150.12720577765748,-54.76626929191032,19.972723
984,5.260176675138527e+18,150.21138856246608,-54.81107699015515,20.469822
889,5.260176709498306e+18,150.21621841616826,-54.79945267694416,20.480923
934,5.260177774648225e+18,150.1307059119807,-54.77035282967574,20.537048
903,5.260177293614503e+18,150.14058274548336,-54.81317966412145,20.725029
