,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
201,5.260177705937371e+18,150.1547287133906,-54.79433971669506,10.892049
646,5.260177568498441e+18,150.20890629244738,-54.78544550776573,11.662475
388,5.26017774029713e+18,150.17502768311172,-54.77461296102786,11.848602
282,5.260177534138699e+18,150.18829804529605,-54.78361684078999,11.948454
33,5.260177495456252e+18,150.17175609686967,-54.79348569011295,11.957215
34,5.26017753413869e+18,150.1762790768629,-54.789523879645266,12.763337
588,5.260177327980242e+18,150.1366493824948,-54.798882219372366,13.32813
138,5.260177499778944e+18,150.1716316339525,-54.798104814604116,13.409075
24,5.260177499778947e+18,150.16627111744089,-54.787780047815026,13.487999
801,5.260177809016599e+18,150.14271272129824,-54.76907873057641,13.495198
176,5.26017752981599e+18,150.18515529187056,-54.78757292575266,13.77392
784,5.26017739670277e+18,150.12673886872093,-54.78288219609894,14.008988
406,5.260177637217917e+18,150.1867952235549,-54.777012414205366,14.373962
632,5.260177637217921e+18,150.19326866506805,-54.77195576253374,14.529912
846,5.260177637217924e+18,150.18949677031847,-54.76526392141786,14.541398
297,5.260177740297125e+18,150.16745067587365,-54.77716663618487,14.555047
639,5.260177774647568e+18,150.13661597073406,-54.77800165247194,14.750158
56,5.260177705937375e+18,150.1619800868225,-54.79041554333334,14.771743
587,5.260177327970905e+18,150.1339132947764,-54.793415672881984,14.84151
16,5.260177499778949e+18,150.1697944425706,-54.78740916186568,14.859468
387,5.260177705937382e+18,150.1550793436328,-54.77694521509874,14.883485
433,5.260177637217917e+18,150.18369201397633,-54.77524468098541,14.925524
188,5.260177705937376e+18,150.15597651145805,-54.78491716786286,14.988712
125,5.260177499778942e+18,150.16064243045014,-54.79510920478832,15.023668
129,5.260177534138692e+18,150.1831581575188,-54.79021799429858,15.038669
475,5.260177327980244e+18,150.14083585130896,-54.796620586797616,15.107738
467,5.260177637217918e+18,150.19126074836498,-54.77717145091554,15.142074
528,5.260177637217918e+18,150.18012895996338,-54.771333881482064,15.156976
713,5.260177637217923e+18,150.19798625041196,-54.771692107653614,15.4198
187,5.260177705937372e+18,150.15361694247323,-54.79116326936451,15.437653
756,5.260177770334706e+18,150.13286297812704,-54.77620316103825,15.474203
20,5.260177499778945e+18,150.16567889427645,-54.791262382444245,15.481566
922,5.260177293620498e+18,150.14028236768274,-54.814110688364494,15.532437
494,5.260177431059466e+18,150.18507157638177,-54.806393376373364,15.595271
364,5.260177705937378e+18,150.15115592094966,-54.77953262093664,15.597191
620,5.260177735974988e+18,150.15381837327686,-54.76996405200519,15.626658
516,5.260177705937381e+18,150.14996446820416,-54.77464695013363,15.6482935
943,5.260176675145227e+18,150.2091800147519,-54.810343992245954,15.65103
237,5.260177534138697e+18,150.17786225364148,-54.78007365125955,15.652883
22,5.260177499779105e+18,150.17161469119955,-54.787094693403816,15.659453
575,5.26017712182197e+18,150.17014106843388,-54.810641797467746,15.670817
155,5.260177529816921e+18,150.1772329089785,-54.782341413985314,15.682911
67,5.260177701615239e+18,150.161725515897,-54.78861430212132,15.718758
699,5.260177121821811e+18,150.16154094031015,-54.81358620606909,15.767341
739,5.260177564176226e+18,150.2131339797555,-54.79363277721801,15.785714
622,5.260177293623553e+18,150.1467053573923,-54.807620474951065,15.795628
