,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,Unnamed: 36,Unnamed: 37,Unnamed: 38,mask
138,112,150.1369892,0.0732,-54.81474374,0.0567,5.26018e+18,0.115,0.0733,-6.209,0.139,2.004,0.103,0,3335.2,3.3774,16.8806,0.0011,1520.4,7.1392,17.3965,0.0051,2856.7,7.8037,16.1223,0.003,1.2742,,,4892.67,,,,,IN,2,,,50.26548246,0
21,128,150.1403139,0.0323,-54.81411965,0.0289,5.26018e+18,0.4682,0.037,-6.8,0.063,3.379,0.053,0,11389.0,5.3374,15.5471,0.0005,5688.5,13.509,15.9639,0.0026,8559.7,17.529,14.9308,0.0022,1.0331,,,5195.03,,,1.82,2.184,IN,1,,,,0
51,48,150.1615743,0.0324,-54.81359236,0.0296,5.26018e+18,0.2873,0.0381,-7.221,0.066,2.466,0.057,0,9146.9,4.7965,15.7852,0.0006,2793.4,15.689,16.7361,0.0061,9798.6,20.326,14.784,0.0023,1.9521,,,3857.83,1.845,0.8825,,,IN,1,,,,0
274,136,150.1392233,0.1443,-54.81303192,0.133,5.26018e+18,0.1586,0.1699,-3.95,0.288,2.315,0.249,0,776.8,1.4365,18.4626,0.002,410.28,9.27,18.8187,0.0245,813.71,11.91,17.4858,0.0159,1.3329,,,,,,,,IN,4,,,,0
134,77,150.1281855,0.0844,-54.81248102,0.0789,5.26018e+18,0.1155,0.0972,-4.738,0.173,3.493,0.152,0,2180.2,1.8465,17.3421,0.0009,539.52,9.6389,18.5214,0.0194,2624.2,9.541,16.2144,0.0039,2.3069,,,,,,,,IN,2,,,,0
343,126,150.1353381,0.1809,-54.81190682,0.1662,5.26018e+18,0.7571,0.2105,-5.356,0.358,4.036,0.315,0,577.6,1.0882,18.7843,0.002,219.89,23.88,19.4959,0.1179,648.15,11.868,17.7327,0.0199,1.7631,,,,,,,,IN,5,,,,0
133,0,150.2092775,0.0783,-54.81138384,0.0725,5.26018e+18,0.2056,0.0927,-4.727,0.156,3.745,0.133,0,1938.7,2.0971,17.4696,0.0012,791.07,8.7131,18.1059,0.012,1980.1,11.632,16.5202,0.0064,1.5856,,,,,,,,IN,2,,,,0
14,3,150.2092355,0.0315,-54.81035682,0.0284,5.26018e+18,0.5338,0.0355,-12.167,0.062,4.922,0.053,0,10229.0,5.4399,15.6638,0.0006,5164.6,10.778,16.0688,0.0023,7466.4,11.599,15.0791,0.0017,0.9896,,,5287.0,,,1.45,1.488,IN,1,,,,0
132,212,150.1949173,0.0625,-54.80918328,0.0524,5.26018e+18,0.4463,0.0681,-6.413,0.119,3.465,0.1,0,3338.6,2.1766,16.8795,0.0007,1552.1,11.614,17.3741,0.0081,2609.8,11.944,16.2204,0.005,1.1537,,,4940.0,0.704,0.352,,,IN,2,,,,0
25,51,150.1720233,0.0414,-54.80843536,0.0394,5.26018e+18,0.143,0.0504,-4.209,0.083,2.781,0.071,0,6339.6,3.7286,16.1832,0.0006,2906.0,9.2778,16.6932,0.0035,5249.7,10.509,15.4616,0.0022,1.2316,,,4896.33,,,,,IN,1,,,,0
19,107,150.1467245,0.0383,-54.80762767,0.0347,5.26018e+18,0.0746,0.0444,-4.126,0.073,2.697,0.062,0,9008.3,5.9851,15.8018,0.0007,3980.4,12.131,16.3516,0.0033,7667.7,14.202,15.0503,0.002,1.3013,,,4889.5,,,,,IN,1,,,,0
199,44,150.172117,0.1365,-54.80707156,0.1334,5.26018e+18,0.5958,0.1648,-6.822,0.276,3.778,0.245,0,1268.4,3.5401,17.9302,0.003,494.83,8.5029,18.6152,0.0187,1293.3,13.513,16.9827,0.0113,1.6325,,,,,,,,IN,3,,,,0
7,208,150.1851027,0.0342,-54.80640845,0.0293,5.26018e+18,0.3783,0.0403,-6.782,0.068,5.808,0.055,0,10745.0,5.6058,15.6104,0.0006,5600.0,14.345,15.9809,0.0028,7661.4,12.65,15.0512,0.0018,0.9298,,,5292.0,,,2.1,3.11,IN,1,,,,0
269,164,150.1797071,0.1612,-54.80576425,0.1445,5.26018e+18,-0.1995,0.1924,-4.804,0.32,2.618,0.275,0,668.01,1.1214,18.6264,0.0018,258.96,8.2712,19.3183,0.0347,684.65,8.1274,17.6732,0.0129,1.645,,,,,,,,IN,4,,,,0
53,217,150.1805822,0.0428,-54.80478227,0.0403,5.26018e+18,0.1392,0.0501,-4.159,0.088,2.836,0.078,0,6754.8,3.7828,16.1143,0.0006,2998.9,12.823,16.659,0.0046,5681.5,11.627,15.3758,0.0022,1.2832,,,4942.03,,,,,IN,1,,,,0
197,68,150.1689644,0.1036,-54.80420835,0.0983,5.26018e+18,0.0487,0.1237,-4.065,0.216,2.914,0.211,0,1624.3,1.7641,17.6617,0.0012,730.01,6.7513,18.1931,0.01,1423.5,9.7476,16.8785,0.0074,1.3145,,,,,,,,IN,3,,,,0
18,108,150.1398916,0.0456,-54.80334925,0.0424,5.26018e+18,0.174,0.0525,-7.01,0.093,4.148,0.083,0,5672.8,4.0763,16.3039,0.0008,2416.5,41.646,16.8934,0.0187,5422.4,48.915,15.4264,0.0098,1.467,,,4467.5,,,,,IN,1,,,,0
127,76,150.1405667,0.0485,-54.80278177,0.0472,5.26018e+18,0.4576,0.0569,-8.161,0.097,3.033,0.088,0,4925.6,3.0405,16.4572,0.0007,2230.5,20.997,16.9804,0.0102,4105.2,21.889,15.7286,0.0058,1.2518,,,4882.0,,,1.44,1.055,IN,2,,,,0
192,101,150.137507,0.113,-54.80176606,0.1069,5.26018e+18,0.3917,0.1318,-4.444,0.228,2.332,0.202,0,1286.4,1.5762,17.915,0.0013,461.35,8.0682,18.6913,0.019,1315.8,9.2795,16.9639,0.0077,1.7274,,,,,,,,IN,3,,,,0
48,123,150.1451842,0.0438,-54.80115756,0.0416,5.26018e+18,0.1062,0.0536,-4.146,0.09,2.772,0.076,0,6550.9,4.1514,16.1476,0.0007,2920.1,11.681,16.6879,0.0043,5479.4,11.662,15.4151,0.0023,1.2728,,,4827.14,,,,,IN,1,,,,0
124,171,150.1669428,0.0597,-54.79961951,0.0637,5.26018e+18,0.086,0.0743,-3.879,0.124,2.884,0.121,0,3720.4,2.6179,16.7619,0.0008,1760.7,11.485,17.2372,0.0071,3342.6,21.383,15.9517,0.0069,1.2854,,,4665.24,,,,,IN,2,,,,0
22,117,150.1368805,0.0797,-54.79893919,0.0788,5.26018e+18,2.3588,0.09,-49.58,0.172,21.62,0.163,0,88570.0,26.957,13.3201,0.0003,43975.0,40.153,13.7434,0.001,64843.0,55.461,12.7323,0.0009,1.0111,,,5289.46,0.253,0.124,0.97,0.659,IN,1,,,,0
24,211,150.1716574,0.0193,-54.79810901,0.0171,5.26018e+18,0.3378,0.0219,-5.701,0.04,1.766,0.035,0,80458.0,20.623,13.4244,0.0003,53214.0,81.411,13.5363,0.0017,42808.0,31.788,13.1831,0.0008,0.3532,,,8187.0,,,,,IN,1,,,,0
120,152,150.1850145,0.0557,-54.79742975,0.0524,5.26018e+18,0.3624,0.0645,-6.7,0.114,4.401,0.1,0,3207.6,2.1364,16.9229,0.0007,1405.9,10.345,17.4815,0.008,2647.2,8.3426,16.205,0.0034,1.2765,,,4856.18,,,,,IN,2,,,,0
29,129,150.1408832,0.2209,-54.79662335,0.2318,5.26018e+18,0.4278,0.2804,-8.44,0.485,2.89,0.458,0,18128.0,52.812,15.0425,0.0032,6321.4,16.291,15.8494,0.0028,20149.0,35.181,14.0013,0.0019,1.8481,,,4062.5,,,,,IN,1,,,,0
114,157,150.1666462,0.0581,-54.79590451,0.0589,5.26018e+18,0.1626,0.0729,-4.368,0.118,2.685,0.105,0,3643.5,2.7781,16.7846,0.0008,1762.4,22.399,17.2362,0.0138,3292.1,40.898,15.9682,0.0135,1.2679,,,4566.7,,,,,IN,2,,,,0
2,216,150.1606586,0.0712,-54.7951176,0.0667,5.26018e+18,0.1579,0.0846,-4.208,0.146,2.605,0.131,0,18520.0,10.042,15.0192,0.0006,8585.5,11.927,15.517,0.0015,15263.0,25.734,14.3028,0.0018,1.2141,,,4884.0,,,,,IN,1,,,,0
36,370,150.1547483,0.0523,-54.79434733,0.0492,5.26018e+18,0.217,0.0585,-4.007,0.106,2.698,0.094,1,820870.0,930.83,10.9027,0.0012,113800.0,702.43,12.7111,0.0067,1129500.0,3886.1,9.6297,0.0037,3.0814,,,3387.0,2.2037,1.1428,,,IN,1,,,,0
1,268,150.1717755,0.0317,-54.79349337,0.0302,5.26018e+18,0.0802,0.0368,-4.203,0.066,2.875,0.057,0,305180.0,115.38,11.977,0.0004,54648.0,193.98,13.5075,0.0039,397890.0,538.01,10.7625,0.0015,2.745,,,4094.04,,,,,IN,1,,,,0
16,207,150.1751906,0.0423,-54.79279898,0.0426,5.26018e+18,0.0449,0.0518,-4.03,0.091,2.604,0.081,0,6861.6,5.0321,16.0973,0.0008,3246.2,22.875,16.573,0.0077,6084.8,47.996,15.3013,0.0086,1.2717,,,4684.0,,,,,IN,1,,,,0
111,150,150.1655869,0.0619,-54.79220819,0.0661,5.26018e+18,0.1116,0.0796,-4.448,0.125,2.503,0.113,0,3217.0,2.8362,16.9197,0.001,1459.1,13.865,17.4412,0.0103,2865.6,23.761,16.1189,0.009,1.3223,,,4760.0,,,,,IN,2,,,,0
31,392,150.1536378,0.1357,-54.79116937,0.1294,5.26018e+18,0.5477,0.1542,-2.434,0.308,3.661,0.271,0,12685.0,30.504,15.4302,0.0026,7383.9,115.05,15.6807,0.0169,13000.0,184.6,14.4771,0.0154,1.2036,,,5074.4,,,,,IN,1,,,,0
4,388,150.1619991,0.0218,-54.79042247,0.0219,5.26018e+18,0.1183,0.0263,-4.067,0.045,2.624,0.041,1,23040.0,10.925,14.7822,0.0005,10746.0,18.919,15.2733,0.0019,19018.0,26.195,14.064,0.0015,1.2092,,,4893.5,,,,,IN,1,,,,0
6,236,150.1762981,0.023,-54.78953149,0.022,5.26018e+18,0.0979,0.0268,-4.257,0.047,2.776,0.042,0,147630.0,530.88,12.7654,0.0039,58228.0,880.19,13.4386,0.0164,130760.0,1561.0,11.9707,0.013,1.4679,,,4440.0,,,,,IN,1,,,,0
318,349,150.1546836,0.2011,-54.78899402,0.1789,5.26018e+18,0.033,0.2222,-7.174,0.439,1.661,0.356,0,638.83,1.5034,18.6749,0.0026,375.93,14.389,18.9136,0.0416,989.39,18.417,17.2735,0.0202,1.6401,,,,,,,,IN,5,,,,0
12,196,150.1690766,0.0444,-54.78846065,0.04,5.26018e+18,0.1299,0.0512,-4.023,0.101,2.742,0.087,0,6157.0,3.701,16.2149,0.0007,2905.3,26.85,16.6934,0.01,5717.8,68.341,15.3688,0.013,1.3246,,,4762.0,,,,,IN,1,,,,0
42,234,150.1698138,0.0228,-54.78741631,0.0228,5.26018e+18,0.0937,0.0267,-4.271,0.047,2.75,0.042,0,21225.0,6.8748,14.8713,0.0004,9659.6,14.827,15.389,0.0017,17467.0,19.789,14.1564,0.0012,1.2326,,,4907.5,,,,,IN,1,,,,0
168,215,150.1674251,0.0929,-54.78677442,0.086,5.26018e+18,0.0164,0.1064,-3.73,0.186,3.068,0.165,0,1786.0,2.5656,17.5587,0.0016,965.2,17.091,17.8898,0.0192,1961.3,34.449,16.5306,0.0191,1.3593,,,,,,,,IN,3,,,,0
68,224,150.1840603,0.0324,-54.7861272,0.0325,5.26018e+18,1.0346,0.0392,-6.568,0.068,6.41,0.062,0,8645.0,5.3319,15.8465,0.0007,4217.3,34.287,16.2888,0.0088,8535.6,130.9,14.9338,0.0167,1.355,,,4595.73,,,0.99,0.395,IN,1,,,,0
35,303,150.2089255,0.0262,-54.78545292,0.0236,5.26018e+18,0.1214,0.0299,-4.147,0.053,2.62,0.044,0,402200.0,112.76,11.6773,0.0003,91627.0,205.94,12.9463,0.0024,483480.0,757.54,10.551,0.0017,2.3954,46.68,0.58,3562.61,1.5547,0.7757,,,IN,1,,,,0
5,385,150.1560032,0.0235,-54.7849294,0.024,5.26018e+18,0.4665,0.0282,-5.883,0.048,4.607,0.044,0,18831.0,6.6885,15.0012,0.0004,9847.8,16.587,15.368,0.0018,13428.0,20.785,14.4419,0.0017,0.9261,,,5317.38,,,2.23,3.571,IN,1,,,,0
45,254,150.1840817,0.0914,-54.78413539,0.0887,5.26018e+18,-0.093,0.1108,-7.904,0.196,5.65,0.174,0,5780.3,6.0196,16.2835,0.0011,2934.2,15.929,16.6827,0.0059,5058.2,21.78,15.5019,0.0047,1.1807,,,4920.0,,,,,IN,1,,,,0
23,241,150.1883174,0.0265,-54.78362438,0.0251,5.26018e+18,0.0832,0.031,-4.19,0.057,2.767,0.049,0,310030.0,69.997,11.9599,0.0002,126930.0,162.24,12.5925,0.0014,275170.0,308.2,11.1629,0.0012,1.4296,,,4405.33,,,,,IN,1,,,,0
0,114,150.1267644,0.3291,-54.78289165,0.3334,5.26018e+18,-0.4233,0.3987,-4.629,0.705,3.647,0.623,1,49596.0,44.372,13.9498,0.001,17915.0,23.241,14.7184,0.0014,47995.0,36.496,13.0589,0.0008,1.6594,,,4164.47,,,,,IN,1,,,,0
10,176,150.1772524,0.031,-54.78234847,0.0299,5.26018e+18,0.0768,0.0367,-4.16,0.066,2.697,0.057,0,10006.0,9.1385,15.6877,0.001,4721.4,24.231,16.1662,0.0056,8708.6,38.861,14.912,0.0048,1.2542,,,4820.41,,,,,IN,1,,,,0
27,407,150.1659585,0.0407,-54.78141289,0.0377,5.26018e+18,0.0479,0.0477,-4.388,0.084,2.601,0.073,0,7025.6,5.1568,16.0717,0.0008,3120.5,12.476,16.6158,0.0043,5909.4,11.681,15.3331,0.0021,1.2828,,,4935.56,,,,,IN,1,,,,0
229,172,150.1737401,0.1745,-54.78066657,0.1766,5.26018e+18,0.1593,0.2084,-4.254,0.42,3.033,0.364,0,675.7,1.7725,18.614,0.0028,373.38,27.397,18.921,0.0797,709.72,4.2649,17.6342,0.0065,1.2868,,,,,,,,IN,4,,,,0
40,246,150.1778921,0.0321,-54.78008855,0.03,5.26018e+18,0.2943,0.0369,-6.575,0.069,5.549,0.06,0,10196.0,5.3215,15.6673,0.0006,4386.5,12.217,16.2461,0.003,9034.9,23.4,14.8721,0.0028,1.374,,,4516.81,,,3.98,5.93,IN,1,,,,0
41,121,150.1283561,0.0342,-54.77937226,0.0354,5.26018e+18,0.1694,0.0419,-4.036,0.07,2.807,0.063,0,7914.0,6.0653,15.9424,0.0008,3690.5,25.536,16.4337,0.0075,6873.3,55.716,15.169,0.0088,1.2647,,,4822.0,,,,,IN,1,,,,0
11,406,150.159534,0.0394,-54.77855117,0.0403,5.26018e+18,0.4176,0.0488,-1.504,0.084,8.899,0.073,0,7325.4,6.513,16.0263,0.001,2840.2,12.29,16.718,0.0047,6648.7,10.501,15.2051,0.0017,1.5129,,,4357.35,,,2.64,2.266,IN,1,,,,0
66,364,150.1366607,0.3906,-54.77801892,0.3336,5.26018e+18,1.5325,0.4523,-5.198,0.918,5.893,0.671,1,28351.0,193.98,14.5569,0.0074,14267.0,31.198,14.9656,0.0024,31562.0,73.642,13.514,0.0025,1.4516,,,4819.07,,,,,IN,1,,,,0
