,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,mask
278,29,150.1682985,0.135,-54.81470091,0.1229,5.26018e+18,0.4721,0.1541,-7.078,0.264,6.483,0.226,0,865.28,1.2198,18.3455,0.0015,324.75,6.7338,19.0725,0.0225,849.83,9.595,17.4386,0.0123,1.6339,,,,,,,,IN,4,1
136,55,150.1850442,0.0537,-54.81392054,0.0537,5.26018e+18,0.5711,0.0681,-6.103,0.11,4.078,0.092,0,3986.7,2.6715,16.6868,0.0007,1794.1,12.24,17.2168,0.0074,3234.4,13.791,15.9874,0.0046,1.2293,,,4867.61,,,1.04,0.55,IN,2,1
275,30,150.1656045,0.1349,-54.81327116,0.1242,5.26018e+18,-0.0429,0.158,-5.423,0.269,2.885,0.23,0,958.68,1.3955,18.2342,0.0016,384.62,14.314,18.8888,0.0404,1148.8,15.536,17.1114,0.0147,1.7775,,,,,,,,IN,4,1
135,110,150.1448796,0.0751,-54.81270683,0.0698,5.26018e+18,0.3688,0.089,-4.667,0.153,3.886,0.131,0,2160.1,2.1408,17.3522,0.0011,1017.2,11.665,17.8328,0.0124,1867.8,21.764,16.5836,0.0127,1.2492,,,,,,,,IN,2,1
205,272,150.1983316,0.1009,-54.81144644,0.0886,5.26018e+18,0.072,0.1133,-2.902,0.204,3.273,0.175,0,1690.2,1.8761,17.6185,0.0012,438.25,7.817,18.7471,0.0194,2024.7,8.2604,16.496,0.0044,2.2511,,,,,,,,IN,3,1
63,34,150.1701603,0.0338,-54.81064887,0.0332,5.26018e+18,0.1147,0.0389,-4.07,0.07,2.62,0.064,0,10032.0,5.7958,15.6849,0.0006,4742.9,17.047,16.1613,0.0039,8036.4,14.947,14.9993,0.002,1.162,,,4883.09,,,,,IN,1,1
273,75,150.129299,0.1646,-54.8096312,0.1632,5.26018e+18,0.317,0.1922,-4.88,0.336,3.812,0.322,0,775.22,1.2853,18.4648,0.0018,317.5,8.2159,19.097,0.0281,772.0,10.331,17.5429,0.0145,1.5542,,,,,,,,IN,4,1
202,202,150.2010767,0.1193,-54.80903911,0.11,5.26018e+18,0.1664,0.1442,-4.213,0.242,2.957,0.209,0,1153.5,1.7332,18.0334,0.0016,519.85,10.22,18.5617,0.0213,1371.5,16.788,16.919,0.0133,1.6427,,,,,,,,IN,3,1
130,37,150.1707276,0.0597,-54.80802725,0.0572,5.26018e+18,0.1674,0.0719,-4.181,0.119,2.586,0.101,0,3580.6,2.6046,16.8035,0.0008,1619.7,9.4855,17.3278,0.0064,3108.0,12.953,16.0307,0.0045,1.2971,,,4877.47,,,,,IN,2,1
200,138,150.1421508,0.0898,-54.80714505,0.0821,5.26018e+18,-0.0226,0.1031,-4.254,0.18,2.481,0.157,0,1745.8,2.0765,17.5834,0.0013,741.82,9.2056,18.1756,0.0135,1641.5,8.0327,16.7238,0.0053,1.4518,,,,,,,,IN,3,1
17,56,150.174084,0.0357,-54.80628015,0.0342,5.26018e+18,0.0759,0.0433,-4.15,0.072,2.702,0.062,0,8117.7,16.642,15.9148,0.0022,3500.2,18.233,16.4912,0.0057,6985.1,54.607,15.1515,0.0085,1.3397,,,4673.0,,,,,IN,1,1
267,238,150.2067056,0.1598,-54.80512263,0.1316,5.26018e+18,-0.047,0.1865,-4.639,0.322,2.414,0.233,0,802.82,1.2151,18.4268,0.0016,,,,,,,,,,,,,,,,,IN,4,1
39,99,150.1472721,0.0418,-54.80451788,0.0406,5.26018e+18,0.5054,0.0512,-0.853,0.086,1.342,0.073,0,6265.6,3.5515,16.196,0.0006,2932.3,13.033,16.6834,0.0048,4931.0,16.962,15.5296,0.0037,1.1538,,,5073.89,0.814,0.414,1.33,1.054,IN,1,1
129,70,150.1325369,0.0669,-54.80351905,0.0609,5.26018e+18,0.3242,0.0765,-7.034,0.136,5.936,0.121,0,2699.0,2.0811,17.1104,0.0008,1191.8,8.6422,17.6609,0.0079,2285.2,13.087,16.3646,0.0062,1.2963,,,,,,,,IN,2,1
128,49,150.1576767,0.053,-54.80292306,0.0498,5.26018e+18,0.3226,0.0614,-3.317,0.109,2.323,0.094,0,4681.8,3.2836,16.5123,0.0008,1435.1,6.7913,17.4592,0.0051,4945.7,9.083,15.5263,0.002,1.9328,,,3883.53,,,,,IN,2,1
194,206,150.1933801,0.0989,-54.80244675,0.0901,5.26018e+18,0.0464,0.1153,-2.705,0.197,2.997,0.169,0,1710.7,1.7007,17.6054,0.0011,346.75,10.238,19.0014,0.0321,2264.4,6.182,16.3745,0.003,2.6268,,,,,,,,IN,3,1
193,40,150.16478,0.0924,-54.8018701,0.0844,5.26018e+18,0.0475,0.1078,-4.018,0.183,2.829,0.159,0,1587.9,1.698,17.6863,0.0012,764.53,11.386,18.1429,0.0162,1568.6,11.672,16.7732,0.0081,1.3698,,,,,,,,IN,3,1
126,180,150.1768907,0.051,-54.80115801,0.0474,5.26018e+18,0.5077,0.062,-5.031,0.102,7.65,0.09,0,3973.5,2.3148,16.6904,0.0006,1869.3,12.273,17.1722,0.0071,3138.7,10.43,16.0201,0.0036,1.1522,,,4993.98,0.7783,0.378,1.1,0.673,IN,2,1
125,244,150.2127632,0.0842,-54.79979859,0.0783,5.26018e+18,0.0293,0.0952,-6.464,0.177,4.428,0.151,0,2311.6,2.0465,17.2786,0.001,528.55,7.8212,18.5437,0.0161,3005.3,9.1803,16.0672,0.0033,2.4765,,,,,,,,IN,2,1
37,41,150.1601687,0.043,-54.79901977,0.0399,5.26018e+18,0.0642,0.0501,-4.251,0.089,2.659,0.078,0,6088.3,3.3348,16.2271,0.0006,2835.4,15.413,16.7198,0.0059,4974.3,10.46,15.5201,0.0023,1.1997,,,4893.5,,,,,IN,1,1
