,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,mask
276,52,150.1718025,0.1488,-54.81389782,0.1329,5.26018e+18,0.2475,0.1684,-4.067,0.29,2.702,0.243,0,777.41,1.2704,18.4617,0.0018,358.88,10.474,18.964,0.0317,790.51,13.331,17.5171,0.0183,1.4469,,,,,,,,IN,4,3
201,81,150.1379371,0.5303,-54.80803778,0.5178,5.26018e+18,-0.4941,0.6244,-5.901,1.133,1.156,1.015,0,1101.8,3.7379,18.0831,0.0037,486.06,9.8095,18.6347,0.0219,1095.7,11.122,17.1627,0.011,1.472,,,,,,,,IN,3,3
341,64,150.1631941,0.1748,-54.80500973,0.1604,5.26018e+18,0.168,0.2039,-3.884,0.347,2.811,0.299,0,653.64,1.3193,18.65,0.0022,305.14,11.197,19.1401,0.0398,648.16,8.834,17.7327,0.0148,1.4074,,,,,,,,IN,5,3
339,269,150.1841374,0.2038,-54.80208214,0.1757,5.26018e+18,-0.0338,0.2271,-4.745,0.403,2.572,0.357,0,593.77,1.1535,18.7543,0.0021,269.49,8.5902,19.275,0.0346,631.98,8.3883,17.7602,0.0144,1.5149,,,,,,,,IN,5,3
122,218,150.1713705,0.0631,-54.79895444,0.0611,5.26018e+18,0.0026,0.0789,-4.479,0.132,2.57,0.108,0,3015.8,2.9841,16.9899,0.0011,2031.3,74.108,17.082,0.0396,3050.7,52.634,16.0509,0.0187,1.031,,,5143.45,,,,,IN,2,3
118,204,150.1791607,0.0735,-54.79708766,0.0688,5.26018e+18,0.2443,0.0869,-3.907,0.147,3.849,0.132,0,2186.5,1.8913,17.339,0.0009,674.8,7.9299,18.2784,0.0128,2407.7,11.737,16.3079,0.0053,1.9705,,,,,,,,IN,2,3
185,161,150.1902,0.1065,-54.79451397,0.1,5.26018e+18,0.1299,0.1227,-4.51,0.217,2.6,0.189,0,1135.5,1.4726,18.0504,0.0014,479.9,7.4295,18.6485,0.0168,1002.4,8.6378,17.2593,0.0094,1.3892,,,,,,,,IN,3,3
257,184,150.1717986,0.9159,-54.79244962,0.8661,5.26018e+18,,,,,,,0,970.72,2.4605,18.2206,0.0028,647.76,28.827,18.3229,0.0483,2126.1,86.082,16.443,0.044,1.8799,,,,,,,,IN,4,3
109,344,150.1533628,0.1269,-54.79092116,0.0984,5.26018e+18,0.2076,0.0715,-3.666,0.281,2.983,0.218,0,5158.8,5.7344,16.407,0.0012,,,,,,,,,,,,,,,,,IN,2,3
173,183,150.1710864,0.1013,-54.78951241,0.1069,5.26018e+18,0.9771,0.1215,-3.583,0.213,2.134,0.225,0,1866.8,2.3521,17.5106,0.0014,955.98,14.856,17.9003,0.0169,1862.4,19.95,16.5867,0.0116,1.3135,,,,,,,,IN,3,3
99,386,150.1554696,0.1221,-54.78811064,0.1224,5.26018e+18,0.1251,0.1448,-10.522,0.277,3.277,0.26,0,5413.6,16.589,16.3546,0.0033,3552.9,37.623,16.4749,0.0115,6292.2,26.464,15.2649,0.0046,1.21,,,5143.45,,,,,IN,2,3
166,225,150.1772183,0.1114,-54.78639915,0.114,5.26018e+18,0.2789,0.1324,-3.863,0.236,3.22,0.228,0,1133.8,1.4496,18.052,0.0014,507.45,10.091,18.5879,0.0216,1055.3,12.015,17.2035,0.0124,1.3844,,,,,,,,IN,3,3
241,336,150.1659535,0.1541,-54.78469804,0.1356,5.26018e+18,0.0736,0.179,-3.488,0.303,1.166,0.267,0,853.64,1.3947,18.3602,0.0018,408.43,10.519,18.8236,0.028,999.25,10.485,17.2627,0.0114,1.5609,,,,,,,,IN,4,3
87,380,150.1445759,0.1093,-54.78207238,0.1158,5.26018e+18,-0.038,0.1268,-2.784,0.231,1.472,0.234,0,2144.9,3.127,17.3598,0.0016,1010.6,10.358,17.84,0.0111,1977.3,10.681,16.5217,0.0059,1.3182,,,,,,,,IN,2,3
303,337,150.1686294,0.1985,-54.77903723,0.1986,5.26018e+18,-0.0108,0.2368,-2.73,0.419,2.986,0.387,0,577.5,1.2445,18.7845,0.0023,210.98,12.888,19.5408,0.0663,820.21,12.695,17.4771,0.0168,2.0637,,,,,,,,IN,5,3
298,365,150.1587532,0.1968,-54.77774044,0.2203,5.26018e+18,0.1836,0.2431,-4.276,0.389,3.06,0.397,0,540.7,1.2805,18.856,0.0026,255.21,8.3603,19.3341,0.0356,535.11,7.8714,17.9408,0.016,1.3933,,,,,,,,IN,5,3
152,425,150.1592189,0.0851,-54.77635864,0.0844,5.26018e+18,0.1361,0.1019,-4.618,0.176,2.85,0.16,0,1538.3,1.7849,17.7208,0.0013,659.23,10.346,18.3038,0.017,1358.8,8.9895,16.9291,0.0072,1.3747,,,,,,,,IN,3,3
77,324,150.1867209,0.0825,-54.77452313,0.0763,5.26018e+18,0.094,0.0951,-3.908,0.167,2.86,0.148,0,1963.9,1.9671,17.4556,0.0011,853.95,10.589,18.0228,0.0135,1722.6,10.535,16.6715,0.0066,1.3514,,,,,,,,IN,2,3
220,389,150.1391798,0.1447,-54.77244477,0.1441,5.26018e+18,0.3099,0.1741,-7.273,0.301,4.124,0.272,0,696.85,1.1905,18.5805,0.0019,238.32,7.9661,19.4085,0.0363,730.46,7.9368,17.6029,0.0118,1.8056,,,,,,,,IN,4,3
216,420,150.1635102,0.1994,-54.77133643,0.1937,5.26018e+18,-0.0189,0.2379,-5.299,0.423,3.258,0.38,0,934.79,1.8618,18.2616,0.0022,289.21,6.3918,19.1984,0.024,1182.7,8.9588,17.0797,0.0082,2.1186,,,,,,,,IN,4,3
