,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,mask
0,114,150.1267644,0.3291,-54.78289165,0.3334,5.26018e+18,-0.4233,0.3987,-4.629,0.705,3.647,0.623,1,49596.0,44.372,13.9498,0.001,17915.0,23.241,14.7184,0.0014,47995.0,36.496,13.0589,0.0008,1.6594,,,4164.47,,,,,IN,1,0
1,268,150.1717755,0.0317,-54.79349337,0.0302,5.26018e+18,0.0802,0.0368,-4.203,0.066,2.875,0.057,0,305180.0,115.38,11.977,0.0004,54648.0,193.98,13.5075,0.0039,397890.0,538.01,10.7625,0.0015,2.745,,,4094.04,,,,,IN,1,0
2,216,150.1606586,0.0712,-54.7951176,0.0667,5.26018e+18,0.1579,0.0846,-4.208,0.146,2.605,0.131,0,18520.0,10.042,15.0192,0.0006,8585.5,11.927,15.517,0.0015,15263.0,25.734,14.3028,0.0018,1.2141,,,4884.0,,,,,IN,1,0
4,388,150.1619991,0.0218,-54.79042247,0.0219,5.26018e+18,0.1183,0.0263,-4.067,0.045,2.624,0.041,1,23040.0,10.925,14.7822,0.0005,10746.0,18.919,15.2733,0.0019,19018.0,26.195,14.064,0.0015,1.2092,,,4893.5,,,,,IN,1,0
5,385,150.1560032,0.0235,-54.7849294,0.024,5.26018e+18,0.4665,0.0282,-5.883,0.048,4.607,0.044,0,18831.0,6.6885,15.0012,0.0004,9847.8,16.587,15.368,0.0018,13428.0,20.785,14.4419,0.0017,0.9261,,,5317.38,,,2.23,3.571,IN,1,0
6,236,150.1762981,0.023,-54.78953149,0.022,5.26018e+18,0.0979,0.0268,-4.257,0.047,2.776,0.042,0,147630.0,530.88,12.7654,0.0039,58228.0,880.19,13.4386,0.0164,130760.0,1561.0,11.9707,0.013,1.4679,,,4440.0,,,,,IN,1,0
7,208,150.1851027,0.0342,-54.80640845,0.0293,5.26018e+18,0.3783,0.0403,-6.782,0.068,5.808,0.055,0,10745.0,5.6058,15.6104,0.0006,5600.0,14.345,15.9809,0.0028,7661.4,12.65,15.0512,0.0018,0.9298,,,5292.0,,,2.1,3.11,IN,1,0
8,403,150.1550989,0.0243,-54.77695235,0.0226,5.26018e+18,0.0653,0.0273,-4.273,0.05,2.69,0.041,0,20732.0,7.9351,14.8968,0.0004,9590.8,14.469,15.3967,0.0016,16696.0,15.17,14.2054,0.001,1.1914,,,4851.0,,,,,IN,1,0
10,176,150.1772524,0.031,-54.78234847,0.0299,5.26018e+18,0.0768,0.0367,-4.16,0.066,2.697,0.057,0,10006.0,9.1385,15.6877,0.001,4721.4,24.231,16.1662,0.0056,8708.6,38.861,14.912,0.0048,1.2542,,,4820.41,,,,,IN,1,0
11,406,150.159534,0.0394,-54.77855117,0.0403,5.26018e+18,0.4176,0.0488,-1.504,0.084,8.899,0.073,0,7325.4,6.513,16.0263,0.001,2840.2,12.29,16.718,0.0047,6648.7,10.501,15.2051,0.0017,1.5129,,,4357.35,,,2.64,2.266,IN,1,0
12,196,150.1690766,0.0444,-54.78846065,0.04,5.26018e+18,0.1299,0.0512,-4.023,0.101,2.742,0.087,0,6157.0,3.701,16.2149,0.0007,2905.3,26.85,16.6934,0.01,5717.8,68.341,15.3688,0.013,1.3246,,,4762.0,,,,,IN,1,0
