,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,Unnamed: 36,Unnamed: 37,Unnamed: 38,mask
277,84,150.1389699,0.1631,-54.81400174,0.1534,5.26018e+18,0.3971,0.1925,-5.464,0.328,2.668,0.289,0,741.51,1.2546,18.5131,0.0018,377.71,16.101,18.9085,0.0463,810.41,11.791,17.4902,0.0158,1.4183,,,,,,,,IN,4,,,,4
208,28,150.1707277,0.1073,-54.81289808,0.096,5.26018e+18,0.0902,0.1202,-4.164,0.209,2.601,0.176,0,1291.2,1.5337,17.9109,0.0013,568.38,7.0606,18.4648,0.0135,1148.3,11.692,17.1118,0.0111,1.353,,,,,,,,IN,3,,,,4
272,7,150.2122125,0.151,-54.80807178,0.133,5.26018e+18,0.4804,0.1743,-5.046,0.29,3.656,0.24,0,724.35,1.3538,18.5385,0.002,283.65,5.9008,19.2194,0.0226,717.01,6.2186,17.6231,0.0094,1.5963,,,,,,,,IN,4,,,,4
266,237,150.2070498,0.1164,-54.80470369,0.1059,5.26018e+18,-0.1223,0.1339,-4.467,0.232,2.459,0.197,1,1030.2,1.3056,18.156,0.0014,580.02,19.328,18.4428,0.0362,1256.2,29.013,17.0142,0.0251,1.4286,,,,,,,,IN,4,,,,4
340,89,150.1510921,0.2153,-54.80245459,0.1951,5.26018e+18,0.893,0.2468,-8.798,0.413,5.529,0.358,0,487.99,1.3223,18.9673,0.0029,145.53,7.6265,19.944,0.0569,552.48,8.1096,17.9061,0.0159,2.0379,,,,,,,,IN,5,,,,4
264,93,150.1535809,0.1609,-54.80125869,0.1516,5.26018e+18,0.2737,0.1872,-4.224,0.319,2.518,0.283,0,693.64,1.7328,18.5855,0.0027,260.1,5.8441,19.3135,0.0244,748.01,10.095,17.5772,0.0147,1.7364,,,,,,,,IN,4,,,,4
190,181,150.1705782,0.1134,-54.79929958,0.1189,5.26018e+18,0.0014,0.1473,-4.482,0.235,2.826,0.22,0,1679.7,2.5678,17.6253,0.0017,981.25,62.4,17.8719,0.069,1608.1,44.434,16.7461,0.03,1.1258,,,,,,,,IN,3,,,,4
119,230,150.1945002,0.0518,-54.79711847,0.0491,5.26018e+18,0.5554,0.0616,-4.02,0.107,2.899,0.094,0,3661.7,2.2843,16.7791,0.0007,1694.6,8.5903,17.2788,0.0055,2888.4,9.0277,16.1103,0.0034,1.1685,,,4886.0,0.5237,0.262,1.02,0.532,IN,2,,,,4
332,193,150.1869621,0.16,-54.79626323,0.1518,5.26018e+18,0.1174,0.1895,-10.054,0.33,3.496,0.29,0,635.55,1.2303,18.6805,0.0021,248.53,7.6491,19.363,0.0334,657.83,6.801,17.7166,0.0112,1.6463,,,,,,,,IN,5,,,,4
328,266,150.1728039,0.2493,-54.79458966,0.2222,5.26018e+18,-0.1199,0.3042,-4.689,0.55,2.549,0.409,0,474.19,1.9219,18.9985,0.0044,350.73,23.54,18.989,0.0729,1293.9,141.56,16.9822,0.1188,2.0068,,,,,,,,IN,5,,,,4
