,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,rank,slit_width,slit_length,good,ymax,ymin
53,53,83.61297478458,0.0484,22.01323899899,0.0401,3403818348666260608,0.3267,0.0376,0.359,0.074,-2.617,0.057,0,49386.0,44.285,13.9543,0.001,18415.0,65.943,14.6885,0.0039,47856.0,105.66,13.0621,0.0024,1.6264,,,4321.0,,,8.99,25.397,TARGET,3,9,1,22.01346399899,22.01301399899
38,38,83.65038109302,0.1084,22.0352964197,0.0976,3403818314306507648,0.7684,0.122,2.993,0.174,-6.001,0.136,0,3010.1,3.4975,16.9919,0.0013,1450.4,18.984,17.4476,0.0142,3252.5,13.955,15.9814,0.0047,1.4663,,,4460.0,,,,,TARGET,3,9,1,22.0355214197,22.0350714197
58,58,83.6183679191,0.0916,22.02743549611,0.0775,3403818383025993984,0.0065,0.0748,0.98,0.14,-0.441,0.109,0,8181.4,10.004,15.9063,0.0013,4057.6,36.12,16.3307,0.0097,9614.8,42.574,14.8046,0.0048,1.5262,,,4777.0,,,,,TARGET,3,9,1,22.027660496110002,22.02721049611
41,41,83.64844239846,0.0492,22.01032616677,0.0449,3403818211227300224,0.5353,0.0595,2.944,0.078,-4.293,0.062,0,17187.0,9.8955,15.1004,0.0006,7952.2,33.655,15.6002,0.0046,15108.0,30.953,14.3139,0.0022,1.2863,,,4788.84,,,2.41,2.756,TARGET,3,9,1,22.01055116677,22.01010116677
45,45,83.64306853723,0.037,22.03371389402,0.0324,3403818314306510848,1.7389,0.0393,1.675,0.06,-4.71,0.046,0,47820.0,14.483,13.9893,0.0003,23172.0,51.908,14.439,0.0024,37185.0,66.327,13.336,0.0019,1.103,,,4967.27,0.6615,0.322,1.13,0.695,TARGET,3,9,1,22.03393889402,22.03348889402
21,21,83.63742484871,0.1022,21.99761602619,0.0865,3403818108148091008,0.4752,0.0924,1.034,0.16,-8.498,0.122,0,7804.5,10.954,15.9575,0.0015,4202.9,28.76,16.2925,0.0074,7986.9,33.202,15.006,0.0045,1.2865,,,4987.0,,,,,TARGET,3,9,1,21.99784102619,21.997391026189998
70,70,83.62425477091,0.0739,22.03218960929,0.0656,3403818486105206400,0.4214,0.0746,4.081,0.115,-6.098,0.09,0,8785.7,10.345,15.8289,0.0013,4956.2,39.436,16.1135,0.0086,8961.1,29.939,14.881,0.0036,1.2325,,,5025.33,,,,,TARGET,3,9,1,22.03241460929,22.03196460929
27,27,83.63410728889,0.2792,22.01553472219,0.2424,3403818176867563264,-0.3374,0.2454,2.732,0.436,-4.998,0.34,0,11389.0,17.975,15.5471,0.0017,6404.4,54.121,15.8352,0.0092,11012.0,64.165,14.6573,0.0063,1.1779,,,5076.0,,,,,TARGET,3,9,1,22.01575972219,22.01530972219
46,46,83.63284303273,0.1276,22.02115619825,0.1147,3403818275651529472,0.2001,0.1424,0.842,0.205,-1.404,0.161,0,2952.3,7.7827,17.0129,0.0029,3158.3,68.994,16.6027,0.0237,5084.8,44.595,15.4962,0.0095,1.1065,,,5095.63,,,,,TARGET,3,9,1,22.02138119825,22.02093119825
43,43,83.63927200255,0.0795,22.01622609451,0.0744,3403818275651532800,0.5108,0.0982,-1.836,0.127,-4.991,0.101,0,6122.6,7.3637,16.221,0.0013,3553.2,24.373,16.4748,0.0074,6577.6,20.988,15.2168,0.0035,1.2581,,,5095.63,,,,,TARGET,3,9,1,22.01645109451,22.01600109451
