,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,rank,slit_width,slit_length,good,ymax,ymin
0,0,83.6445060263,0.1509,21.98993646911,0.133,3403771172742383872,-0.0132,0.1406,0.985,0.24,-2.083,0.187,0,2778.7,28.538,17.0788,0.0112,1329.7,69.258,17.542,0.0566,2566.8,72.129,16.2384,0.0305,1.3036,,,,,,,,IN,FILLER,3,9,1,21.99016146911,21.98971146911
1,1,83.64319511773,1.0337,21.99755303858,0.9514,3403771168450211456,,,,,,,0,551.92,5.9293,18.8337,0.0117,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,21.99777803858,21.99732803858
9,17,83.61130015889,1.3015,22.00841191787,1.0588,3403818138212571264,,,,,,,0,807.06,2.5084,18.4211,0.0034,744.08,11.847,18.1723,0.0173,1170.4,14.488,17.091,0.0134,1.0813,,,,,,,,IN,FILLER,3,9,1,22.00863691787,22.00818691787
10,18,83.61649707389,0.9394,22.01155076256,0.7643,3403818138212571776,,,,,,,0,1190.7,3.9619,17.9989,0.0036,1697.4,32.138,17.277,0.0206,2292.6,39.729,16.3611,0.0188,0.9159,,,,,,,,IN,FILLER,3,9,1,22.01177576256,22.01132576256
16,24,83.63296297144,1.5777,22.01286218593,1.3242,3403818172572314496,,,,,,,0,925.05,5.9029,18.273,0.0069,1637.7,48.139,17.3158,0.0319,2789.0,40.03,16.1483,0.0156,1.1675,,,,,,,,IN,FILLER,3,9,1,22.01308718593,22.01263718593
18,26,83.61433702865,0.4855,21.99898260577,0.4174,3403818142504739968,0.4442,0.4115,2.609,0.754,-0.455,0.61,0,518.01,2.3223,18.9025,0.0049,662.23,19.253,18.2989,0.0316,1090.8,15.608,17.1675,0.0155,1.1313,,,,,,,,IN,FILLER,3,9,1,21.99920760577,21.99875760577
20,28,83.64541477025,1.0692,22.00387222268,0.8747,3403818103852842240,,,,,,,0,1305.0,5.3673,17.8993,0.0045,1657.8,48.009,17.3026,0.0314,2962.5,40.775,16.0828,0.0149,1.2198,,,,,,,,IN,FILLER,3,9,1,22.00409722268,22.003647222679998
27,40,83.63322265271,0.7076,22.02746487029,0.6644,3403818275651529856,1.4053,0.7911,2.108,1.22,2.841,1.106,0,489.82,4.4996,18.9633,0.01,,,,,,,,,,,,,,,,,IN,FILLER,3,9,1,22.02768987029,22.02723987029
36,50,83.60730924947,1.3489,22.03770976824,1.0983,3403818451742369536,,,,,,,0,799.48,2.503,18.4313,0.0034,1166.8,29.777,17.6839,0.0277,2032.4,30.77,16.4919,0.0164,1.192,,,,,,,,IN,FILLER,3,9,1,22.03793476824,22.03748476824
41,56,83.60314121412,1.5724,22.0079401675,1.2767,3403818344370999936,,,,,,,0,574.1,2.221,18.7909,0.0042,425.97,15.379,18.778,0.0392,976.17,8.4398,17.2881,0.0094,1.4898,,,,,,,,IN,FILLER,3,9,1,22.0081651675,22.0077151675
44,59,83.6053228402,1.1497,22.03719954814,0.939,3403818451745471232,,,,,,,0,976.61,3.3146,18.2141,0.0037,1033.0,31.966,17.8161,0.0336,2194.3,23.799,16.4087,0.0118,1.4075,,,,,,,,IN,FILLER,3,9,1,22.03742454814,22.036974548139998
